area,Category,Group,Value
Lister Park,Age (Residents),0-14,25.2%
Lister Park,Age (Residents),15-29,23.8%
Lister Park,Age (Residents),30-44,23.3%
Lister Park,Age (Residents),45-59,14.5%
Lister Park,Age (Residents),60+,13.1%
Lister Park,Gender (Residents),M,51.4%
Lister Park,Gender (Residents),F,48.6%
Lister Park,Population (Residents),Total Population,12001
Lister Park,Population (Residents),Households,3583
Lister Park,Population (Residents),Average Household Size,3.35
Lister Park,Purchasing Power (Residents),EUR per capita,14075.33
Lister Park,Age (Visitors),15-29,25.7%
Lister Park,Age (Visitors),30-44,27.2%
Lister Park,Age (Visitors),45-59,22.8%
Lister Park,Age (Visitors),60+,24.3%
Lister Park,Gender (Visitors),Male,49.6%
Lister Park,Gender (Visitors),Female,50.4%
Lister Park,Purchasing Power (Visitors),EUR per capita,18442.00
Lister Park,Purchasing Power Buckets (Visitors),Bucket 7000,3%
Lister Park,Purchasing Power Buckets (Visitors),Bucket 10500,13%
Lister Park,Purchasing Power Buckets (Visitors),Bucket 14000,39%
Lister Park,Purchasing Power Buckets (Visitors),Bucket 17500,24%
Lister Park,Purchasing Power Buckets (Visitors),Bucket 21000,6%
Lister Park,Purchasing Power Buckets (Visitors),Bucket 24500,10%
Lister Park,Purchasing Power Buckets (Visitors),Bucket 28000,4%
Lister Park,Purchasing Power Buckets (Visitors),Bucket 31500,1%
