area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
Lister Park,dayOfWeek,Wednesday,1498912.04,26766.29,439590.6399,7849.833903,1059321.4,18916.4561
Lister Park,dayOfWeek,Tuesday,1533818.94,27389.62,449827.896,8032.639849,1083991.044,19356.98015
Lister Park,dayOfWeek,Thursday,1609874.4,28747.76,472132.9196,8430.94583,1137741.48,20316.81417
Lister Park,dayOfWeek,Sunday,1802349.41,32184.81,528580.67,9438.940275,1273768.74,22745.86973
Lister Park,dayOfWeek,Saturday,1772058.22,31643.9,519697.0777,9280.305901,1252361.142,22363.5941
Lister Park,dayOfWeek,Monday,1958637.96,34975.68,574415.9038,10257.42748,1384222.056,24718.25252
Lister Park,dayOfWeek,Friday,1710580.72,30546.08,501667.3782,8958.344783,1208913.342,21587.73522
Lister Park,daily,27/01/2026,26189.85,26189.85,7092.398685,7092.398685,19097.45132,19097.45132
Lister Park,daily,26/01/2026,51927.6,51927.6,14062.36546,14062.36546,37865.23454,37865.23454
Lister Park,daily,25/01/2026,47694.35,47694.35,16948.71658,16948.71658,30745.63342,30745.63342
Lister Park,daily,24/01/2026,90026.3,90026.3,31991.84481,31991.84481,58034.45519,58034.45519
Lister Park,daily,23/01/2026,55538.98,55538.98,15040.35299,15040.35299,40498.62701,40498.62701
Lister Park,daily,22/01/2026,53330.38,53330.38,14442.24831,14442.24831,38888.13169,38888.13169
Lister Park,daily,21/01/2026,28923.12,28923.12,7832.587749,7832.587749,21090.53225,21090.53225
Lister Park,daily,20/01/2026,15239.46,15239.46,4126.954758,4126.954758,11112.50524,11112.50524
Lister Park,daily,19/01/2026,20233.24,20233.24,5479.306096,5479.306096,14753.9339,14753.9339
Lister Park,weekly,19/01/2026,239836.09,34262.3,70337.48309,10048.21229,169498.6069,24214.08771
Lister Park,daily,18/01/2026,38209.64,38209.64,13578.21962,13578.21962,24631.42038,24631.42038
Lister Park,daily,17/01/2026,41478.5,41478.5,14739.8453,14739.8453,26738.6547,26738.6547
Lister Park,daily,16/01/2026,29992.04,29992.04,8122.05893,8122.05893,21869.98107,21869.98107
Lister Park,daily,15/01/2026,35334.07,35334.07,9568.718859,9568.718859,25765.35114,25765.35114
Lister Park,daily,14/01/2026,28210.56,28210.56,7639.621405,7639.621405,20570.9386,20570.9386
Lister Park,daily,13/01/2026,20319.28,20319.28,5502.606344,5502.606344,14816.67366,14816.67366
Lister Park,daily,12/01/2026,42679.71,42679.71,11557.97071,11557.97071,31121.73929,31121.73929
Lister Park,weekly,12/01/2026,216820.16,30974.31,63587.52904,9083.933139,153232.631,21890.37686
Lister Park,daily,11/01/2026,27087.12,27087.12,9625.708703,9625.708703,17461.4113,17461.4113
Lister Park,daily,10/01/2026,39510.13,39510.13,14040.36318,14040.36318,25469.76682,25469.76682
Lister Park,daily,09/01/2026,25752.94,25752.94,6974.080332,6974.080332,18778.85967,18778.85967
Lister Park,daily,08/01/2026,31681.05,31681.05,8579.454917,8579.454917,23101.59508,23101.59508
Lister Park,daily,07/01/2026,28292.01,28292.01,7661.678647,7661.678647,20630.33135,20630.33135
Lister Park,daily,06/01/2026,25269.79,25269.79,6843.239857,6843.239857,18426.55014,18426.55014
Lister Park,daily,05/01/2026,25728.55,25728.55,6967.475346,6967.475346,18761.07465,18761.07465
Lister Park,weekly,05/01/2026,207387.71,29626.82,60821.24482,8688.750516,146566.4652,20938.06948
Lister Park,daily,04/01/2026,25246.88,25246.88,8971.758996,8971.758996,16275.121,16275.121
Lister Park,daily,03/01/2026,30029.5,30029.5,10671.31609,10671.31609,19358.18391,19358.18391
Lister Park,daily,02/01/2026,36453.69,36453.69,9871.919962,9871.919962,26581.77004,26581.77004
Lister Park,daily,01/01/2026,47655.98,47655.98,12905.58021,12905.58021,34750.39979,34750.39979
Lister Park,daily,31/12/2025,55627.09,55627.09,15064.21381,15064.21381,40562.87619,40562.87619
Lister Park,daily,30/12/2025,72357.1,72357.1,19594.82016,19594.82016,52762.27984,52762.27984
Lister Park,daily,29/12/2025,83773.93,83773.93,22686.57938,22686.57938,61087.35062,61087.35062
Lister Park,weekly,29/12/2025,252074.44,36010.63,73926.66242,10560.95052,178147.7776,25449.67948
Lister Park,daily,28/12/2025,22444.5,22444.5,7975.902163,7975.902163,14468.59784,14468.59784
