area,Interval,Date,Transaction Amount,Industry,Segment
Lister Park,dayOfWeek,Monday,14.68,Total Retail,Overall
Lister Park,dayOfWeek,Tuesday,12.08,Total Retail,Overall
Lister Park,dayOfWeek,Wednesday,16.05,Total Retail,Overall
Lister Park,dayOfWeek,Thursday,15.65,Total Retail,Overall
Lister Park,dayOfWeek,Friday,19.4,Total Retail,Overall
Lister Park,dayOfWeek,Saturday,23.29,Total Retail,Overall
Lister Park,dayOfWeek,Sunday,22.48,Total Retail,Overall
Lister Park,weekly,2024-12-30,17.59,Total Retail,Overall
Lister Park,weekly,2025-01-06,10.12,Total Retail,Overall
Lister Park,weekly,2025-01-13,13.1,Total Retail,Overall
Lister Park,weekly,2025-01-20,10,Total Retail,Overall
Lister Park,weekly,2025-01-27,10.35,Total Retail,Overall
Lister Park,weekly,2025-02-03,8.84,Total Retail,Overall
Lister Park,weekly,2025-02-10,9.51,Total Retail,Overall
Lister Park,weekly,2025-02-17,13.71,Total Retail,Overall
Lister Park,weekly,2025-02-24,12.5,Total Retail,Overall
Lister Park,weekly,2025-03-03,13.99,Total Retail,Overall
Lister Park,weekly,2025-03-10,17.56,Total Retail,Overall
Lister Park,weekly,2025-03-17,15.54,Total Retail,Overall
Lister Park,weekly,2025-03-24,13.82,Total Retail,Overall
Lister Park,weekly,2025-03-31,18.76,Total Retail,Overall
Lister Park,weekly,2025-04-07,21.42,Total Retail,Overall
Lister Park,weekly,2025-04-14,21.9,Total Retail,Overall
Lister Park,weekly,2025-04-21,13.9,Total Retail,Overall
Lister Park,weekly,2025-04-28,11.41,Total Retail,Overall
Lister Park,weekly,2025-05-05,8.55,Total Retail,Overall
Lister Park,weekly,2025-05-12,14.73,Total Retail,Overall
Lister Park,weekly,2025-05-19,17.19,Total Retail,Overall
Lister Park,weekly,2025-05-26,17.37,Total Retail,Overall
Lister Park,weekly,2025-06-02,14.6,Total Retail,Overall
Lister Park,weekly,2025-06-09,16.69,Total Retail,Overall
Lister Park,weekly,2025-06-16,15.28,Total Retail,Overall
Lister Park,weekly,2025-06-23,16.03,Total Retail,Overall
Lister Park,weekly,2025-06-30,17,Total Retail,Overall
Lister Park,weekly,2025-07-07,20.17,Total Retail,Overall
Lister Park,weekly,2025-07-14,21.37,Total Retail,Overall
Lister Park,weekly,2025-07-21,13.64,Total Retail,Overall
Lister Park,weekly,2025-07-28,19.15,Total Retail,Overall
Lister Park,weekly,2025-08-04,24.22,Total Retail,Overall
Lister Park,weekly,2025-08-11,29.62,Total Retail,Overall
Lister Park,weekly,2025-08-18,16.65,Total Retail,Overall
Lister Park,weekly,2025-08-25,21.12,Total Retail,Overall
Lister Park,weekly,2025-09-01,23.61,Total Retail,Overall
Lister Park,weekly,2025-09-08,15.3,Total Retail,Overall
Lister Park,weekly,2025-09-15,14.63,Total Retail,Overall
Lister Park,weekly,2025-09-22,27.62,Total Retail,Overall
Lister Park,weekly,2025-09-29,21.28,Total Retail,Overall
Lister Park,weekly,2025-10-06,15.47,Total Retail,Overall
Lister Park,weekly,2025-10-13,15.66,Total Retail,Overall
Lister Park,weekly,2025-10-20,16.89,Total Retail,Overall
Lister Park,weekly,2025-10-27,13.58,Total Retail,Overall
Lister Park,weekly,2025-11-03,10.57,Total Retail,Overall
Lister Park,weekly,2025-11-10,19.97,Total Retail,Overall
Lister Park,weekly,2025-11-17,41.09,Total Retail,Overall
Lister Park,weekly,2025-11-24,72.08,Total Retail,Overall
Lister Park,monthly,2025-01-01,11.02,Total Retail,Overall
Lister Park,monthly,2025-02-01,11.16,Total Retail,Overall
Lister Park,monthly,2025-03-01,15.02,Total Retail,Overall
Lister Park,monthly,2025-04-01,18.07,Total Retail,Overall
Lister Park,monthly,2025-05-01,13.27,Total Retail,Overall
Lister Park,monthly,2025-06-01,15.81,Total Retail,Overall
Lister Park,monthly,2025-07-01,18.41,Total Retail,Overall
Lister Park,monthly,2025-08-01,22.22,Total Retail,Overall
Lister Park,monthly,2025-09-01,20.61,Total Retail,Overall
Lister Park,monthly,2025-10-01,16.2,Total Retail,Overall
Lister Park,monthly,2025-11-01,34.24,Total Retail,Overall
