area,Category,Group,Value
Painting the sky - Roberts part,Age (Residents),0-14,17.5%
Painting the sky - Roberts part,Age (Residents),15-29,16.2%
Painting the sky - Roberts part,Age (Residents),30-44,21.6%
Painting the sky - Roberts part,Age (Residents),45-59,20.8%
Painting the sky - Roberts part,Age (Residents),60+,23.8%
Painting the sky - Roberts part,Gender (Residents),M,50.3%
Painting the sky - Roberts part,Gender (Residents),F,49.7%
Painting the sky - Roberts part,Population (Residents),Total Population,4140
Painting the sky - Roberts part,Population (Residents),Households,1825
Painting the sky - Roberts part,Population (Residents),Average Household Size,2.27
Painting the sky - Roberts part,Purchasing Power (Residents),EUR per capita,27425.85
Painting the sky - Roberts part,Age (Visitors),15-29,21.2%
Painting the sky - Roberts part,Age (Visitors),30-44,24.0%
Painting the sky - Roberts part,Age (Visitors),45-59,24.9%
Painting the sky - Roberts part,Age (Visitors),60+,29.8%
Painting the sky - Roberts part,Gender (Visitors),Male,49.3%
Painting the sky - Roberts part,Gender (Visitors),Female,50.7%
Painting the sky - Roberts part,Purchasing Power (Visitors),EUR per capita,22077.77
Painting the sky - Roberts part,Purchasing Power Buckets (Visitors),Bucket 7000,3%
Painting the sky - Roberts part,Purchasing Power Buckets (Visitors),Bucket 10500,2%
Painting the sky - Roberts part,Purchasing Power Buckets (Visitors),Bucket 14000,19%
Painting the sky - Roberts part,Purchasing Power Buckets (Visitors),Bucket 17500,24%
Painting the sky - Roberts part,Purchasing Power Buckets (Visitors),Bucket 21000,4%
Painting the sky - Roberts part,Purchasing Power Buckets (Visitors),Bucket 24500,42%
Painting the sky - Roberts part,Purchasing Power Buckets (Visitors),Bucket 28000,5%
Painting the sky - Roberts part,Purchasing Power Buckets (Visitors),Bucket 31500,0%
