area,common.dataType,Category,Value (All days of week),Value (Weekdays only),Value (Weekends only)
Painting the sky - Roberts part,Dwell Time Distribution,0-30 min,44.2%,47.4%,38.0%
Painting the sky - Roberts part,Dwell Time Distribution,30-2hrs,47.7%,44.5%,54.0%
Painting the sky - Roberts part,Dwell Time Distribution,2-4 hrs,6.2%,5.3%,8.0%
Painting the sky - Roberts part,Dwell Time Distribution,4-6 hrs,0.0%,0.0%,0.0%
Painting the sky - Roberts part,Dwell Time Distribution,6-8 hrs,1.9%,2.9%,0.0%
Painting the sky - Roberts part,Dwell Time Distribution,8-10 hrs,0.0%,0.0%,0.0%
Painting the sky - Roberts part,Dwell Time Distribution,10hrs+,0.0%,0.0%,0.0%
Painting the sky - Roberts part,Dwell Time by Day of Week,Monday,36.7 minutes,36.7 minutes,0.0 minutes
Painting the sky - Roberts part,Dwell Time by Day of Week,Tuesday,145.4 minutes,145.4 minutes,0.0 minutes
Painting the sky - Roberts part,Dwell Time by Day of Week,Wednesday,53.4 minutes,53.4 minutes,0.0 minutes
Painting the sky - Roberts part,Dwell Time by Day of Week,Thursday,64.4 minutes,64.4 minutes,0.0 minutes
Painting the sky - Roberts part,Dwell Time by Day of Week,Friday,36.7 minutes,36.7 minutes,0.0 minutes
Painting the sky - Roberts part,Dwell Time by Day of Week,Saturday,59.4 minutes,0.0 minutes,59.4 minutes
Painting the sky - Roberts part,Dwell Time by Day of Week,Sunday,47.6 minutes,0.0 minutes,47.6 minutes
