area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
Painting the sky - Roberts part,dayOfWeek,Monday,384680.37,6869.29,284786.7039494762,5085.475137639847,99893.6660505238,1783.8148623601528
Painting the sky - Roberts part,dayOfWeek,Tuesday,473596.42,8457.08,350613.0646959495,6260.94837705661,122983.35530405049,2196.13162294339
Painting the sky - Roberts part,dayOfWeek,Wednesday,372602.63,6653.62,275845.3073147617,4925.810248992726,96757.32268523835,1727.8097510072744
Painting the sky - Roberts part,dayOfWeek,Thursday,465034.49,8304.19,344274.49373079697,6147.760799622297,120759.99626920304,2156.4292003777036
Painting the sky - Roberts part,dayOfWeek,Friday,386343.32,6898.99,286017.8196659678,5107.462651864447,100325.50033403226,1791.5273481355525
Painting the sky - Roberts part,dayOfWeek,Saturday,469173.45,8378.1,347338.6500228862,6202.477876266747,121834.7999771138,2175.622123733253
Painting the sky - Roberts part,dayOfWeek,Sunday,697825.59,12461.17,516614.48102407344,9225.257664315168,181211.10897592653,3235.9123356848327
Painting the sky - Roberts part,daily,2024-12-25,4531.1,4531.1,3001.342239212009,3001.342239212009,1529.7577607879912,1529.7577607879912
Painting the sky - Roberts part,daily,2024-12-26,14115.1,14115.1,9349.660312220305,9349.660312220305,4765.439687779694,4765.439687779694
Painting the sky - Roberts part,daily,2024-12-27,3625.94,3625.94,2401.775921707398,2401.775921707398,1224.164078292602,1224.164078292602
Painting the sky - Roberts part,daily,2024-12-28,3074.44,3074.44,2548.8988878071636,2548.8988878071636,525.5411121928366,525.5411121928366
Painting the sky - Roberts part,daily,2024-12-29,10729.49,10729.49,8895.403757347056,8895.403757347056,1834.0862426529443,1834.0862426529443
Painting the sky - Roberts part,daily,2024-12-30,4098.61,4098.61,2714.8664375221756,2714.8664375221756,1383.7435624778238,1383.7435624778238
Painting the sky - Roberts part,daily,2024-12-31,7816.9,7816.9,5177.813808941835,5177.813808941835,2639.0861910581643,2639.0861910581643
Painting the sky - Roberts part,daily,2025-01-01,6041.47,6041.47,4001.791860239716,4001.791860239716,2039.6781397602845,2039.6781397602845
Painting the sky - Roberts part,daily,2025-01-02,8499.36,8499.36,5629.866516799228,5629.866516799228,2869.4934832007725,2869.4934832007725
Painting the sky - Roberts part,daily,2025-01-03,15773.5,15773.5,10448.163097307634,10448.163097307634,5325.336902692366,5325.336902692366
Painting the sky - Roberts part,daily,2025-01-04,9041.74,9041.74,7496.155732374527,7496.155732374527,1545.5842676254726,1545.5842676254726
