area,Interval,Date,Transaction Amount,Industry,Segment
Painting the sky - Roberts part,dayOfWeek,Monday,22.07,Total Retail,Overall
Painting the sky - Roberts part,dayOfWeek,Tuesday,21.77,Total Retail,Overall
Painting the sky - Roberts part,dayOfWeek,Wednesday,21.15,Total Retail,Overall
Painting the sky - Roberts part,dayOfWeek,Thursday,20.5,Total Retail,Overall
Painting the sky - Roberts part,dayOfWeek,Friday,25.78,Total Retail,Overall
Painting the sky - Roberts part,dayOfWeek,Saturday,36.84,Total Retail,Overall
Painting the sky - Roberts part,dayOfWeek,Sunday,34.38,Total Retail,Overall
Painting the sky - Roberts part,weekly,2024-12-30,9.7,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-01-06,11.83,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-01-13,12.63,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-01-20,10.63,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-01-27,16.3,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-02-03,13.37,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-02-10,17.92,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-02-17,20.39,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-02-24,20.07,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-03-03,21.13,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-03-10,23.82,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-03-17,25.37,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-03-24,38.45,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-03-31,34.95,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-04-07,32.73,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-04-14,36.44,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-04-21,26.48,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-04-28,35.14,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-05-05,33.55,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-05-12,26.25,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-05-19,36.57,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-05-26,36.76,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-06-02,27.14,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-06-09,28.35,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-06-16,29.43,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-06-23,26.35,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-06-30,30.5,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-07-07,28.53,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-07-14,31.32,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-07-21,34.36,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-07-28,30.31,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-08-04,35.04,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-08-11,39.47,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-08-18,36.37,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-08-25,42.63,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-09-01,29.85,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-09-08,17.61,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-09-15,30.37,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-09-22,24.5,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-09-29,20.73,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-10-06,19.8,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-10-13,39.97,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-10-20,20.37,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-10-27,22.85,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-11-03,15.33,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-11-10,33.4,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-11-17,35.95,Total Retail,Overall
Painting the sky - Roberts part,weekly,2025-11-24,31.36,Total Retail,Overall
Painting the sky - Roberts part,monthly,2025-01-01,12.92,Total Retail,Overall
Painting the sky - Roberts part,monthly,2025-02-01,16.81,Total Retail,Overall
Painting the sky - Roberts part,monthly,2025-03-01,26.43,Total Retail,Overall
Painting the sky - Roberts part,monthly,2025-04-01,31.95,Total Retail,Overall
Painting the sky - Roberts part,monthly,2025-05-01,35.08,Total Retail,Overall
Painting the sky - Roberts part,monthly,2025-06-01,27.57,Total Retail,Overall
Painting the sky - Roberts part,monthly,2025-07-01,30.58,Total Retail,Overall
Painting the sky - Roberts part,monthly,2025-08-01,38.78,Total Retail,Overall
Painting the sky - Roberts part,monthly,2025-09-01,24.77,Total Retail,Overall
Painting the sky - Roberts part,monthly,2025-10-01,22.48,Total Retail,Overall
Painting the sky - Roberts part,monthly,2025-11-01,26.45,Total Retail,Overall
