,datestamp,area,total_daily_footfall,year,month
1,2019-01-01,Bradford - BID,54153.485,2019,January
2,2019-01-01,Bradford - Local Authority,530996.0,2019,January
4,2019-01-02,Bradford - BID,158891.385,2019,January
5,2019-01-02,Bradford - Local Authority,568621.0,2019,January
7,2019-01-03,Bradford - BID,56947.585,2019,January
8,2019-01-03,Bradford - Local Authority,606939.0,2019,January
10,2019-01-04,Bradford - BID,35202.405,2019,January
11,2019-01-04,Bradford - Local Authority,508695.0,2019,January
14,2019-01-05,Bradford - BID,92953.335,2019,January
15,2019-01-05,Bradford - Local Authority,468546.0,2019,January
18,2019-01-06,Bradford - BID,41867.825000000004,2019,January
19,2019-01-06,Bradford - Local Authority,410141.0,2019,January
23,2019-01-07,Bradford - BID,51098.965,2019,January
24,2019-01-07,Bradford - City Centre,98332.65,2019,January
25,2019-01-07,Bradford - Lister Park,13050.005000000001,2019,January
26,2019-01-07,Bradford - Local Authority,488741.0,2019,January
28,2019-01-07,Bradford - Roberts Park,9753.705,2019,January
33,2019-01-08,Bradford - BID,70184.155,2019,January
34,2019-01-08,Bradford - City Centre,70403.68,2019,January
35,2019-01-08,Bradford - Lister Park,5636.28,2019,January
36,2019-01-08,Bradford - Local Authority,490209.0,2019,January
37,2019-01-08,Bradford - Roberts Park,2818.14,2019,January
41,2019-01-09,Bradford - BID,40531.994999999995,2019,January
42,2019-01-09,Bradford - City Centre,62432.69,2019,January
43,2019-01-09,Bradford - Lister Park,7972.12,2019,January
44,2019-01-09,Bradford - Local Authority,541583.0,2019,January
45,2019-01-09,Bradford - Roberts Park,4221.07,2019,January
51,2019-01-10,Bradford - BID,61196.725,2019,January
52,2019-01-10,Bradford - City Centre,124109.52,2019,January
53,2019-01-10,Bradford - Lister Park,16706.88,2019,January
54,2019-01-10,Bradford - Local Authority,540426.0,2019,January
55,2019-01-10,Bradford - Roberts Park,22545.14,2019,January
62,2019-01-11,Bradford - BID,33878.11,2019,January
63,2019-01-11,Bradford - City Centre,27054.17,2019,January
64,2019-01-11,Bradford - Lister Park,7890.8,2019,January
65,2019-01-11,Bradford - Local Authority,397085.0,2019,January
67,2019-01-11,Bradford - Roberts Park,8588.62,2019,January
73,2019-01-12,Bradford - BID,39809.755000000005,2019,January
74,2019-01-12,Bradford - City Centre,62432.69,2019,January
75,2019-01-12,Bradford - Lister Park,7408.18,2019,January
76,2019-01-12,Bradford - Local Authority,466904.0,2019,January
78,2019-01-12,Bradford - Roberts Park,8623.91,2019,January
84,2019-01-13,Bradford - BID,27054.17,2019,January
85,2019-01-13,Bradford - City Centre,61135.77,2019,January
86,2019-01-13,Bradford - Lister Park,15033.14,2019,January
87,2019-01-13,Bradford - Local Authority,401610.0,2019,January
88,2019-01-13,Bradford - Roberts Park,849.36,2019,January
95,2019-01-14,Bradford - BID,70782.74,2019,January
96,2019-01-14,Bradford - City Centre,50723.435,2019,January
97,2019-01-14,Bradford - Lister Park,11613.225,2019,January
98,2019-01-14,Bradford - Local Authority,546142.0,2019,January
100,2019-01-14,Bradford - Roberts Park,9760.3,2019,January
106,2019-01-15,Bradford - BID,74904.54500000001,2019,January
107,2019-01-15,Bradford - City Centre,40080.25,2019,January
108,2019-01-15,Bradford - Lister Park,7635.85,2019,January
109,2019-01-15,Bradford - Local Authority,569376.0,2019,January
110,2019-01-15,Bradford - Roberts Park,4221.07,2019,January
115,2019-01-16,Bradford - BID,58462.875,2019,January
116,2019-01-16,Bradford - City Centre,103982.0,2019,January
117,2019-01-16,Bradford - Lister Park,20810.9,2019,January
118,2019-01-16,Bradford - Local Authority,515693.0,2019,January
119,2019-01-16,Bradford - Roberts Park,24122.77,2019,January
125,2019-01-17,Bradford - BID,29194.845,2019,January
126,2019-01-17,Bradford - City Centre,64102.59,2019,January
127,2019-01-17,Bradford - Lister Park,27054.17,2019,January
128,2019-01-17,Bradford - Local Authority,479236.0,2019,January
134,2019-01-18,Bradford - BID,99050.06,2019,January
135,2019-01-18,Bradford - City Centre,70525.92,2019,January
136,2019-01-18,Bradford - Lister Park,19324.4,2019,January
137,2019-01-18,Bradford - Local Authority,593648.0,2019,January
139,2019-01-18,Bradford - Roberts Park,11273.76,2019,January
145,2019-01-19,Bradford - BID,40218.399999999994,2019,January
146,2019-01-19,Bradford - City Centre,48909.78,2019,January
147,2019-01-19,Bradford - Lister Park,12417.86,2019,January
148,2019-01-19,Bradford - Local Authority,501700.0,2019,January
149,2019-01-19,Bradford - Roberts Park,3679.35,2019,January
155,2019-01-20,Bradford - BID,64065.770000000004,2019,January
156,2019-01-20,Bradford - City Centre,62432.69,2019,January
157,2019-01-20,Bradford - Lister Park,12871.26,2019,January
158,2019-01-20,Bradford - Local Authority,615148.0,2019,January
159,2019-01-20,Bradford - Roberts Park,6794.88,2019,January
166,2019-01-21,Bradford - BID,83164.06,2019,January
167,2019-01-21,Bradford - City Centre,96454.29,2019,January
168,2019-01-21,Bradford - Lister Park,6821.969999999999,2019,January
169,2019-01-21,Bradford - Local Authority,600620.0,2019,January
171,2019-01-21,Bradford - Roberts Park,16179.724999999999,2019,January
176,2019-01-22,Bradford - BID,58853.715000000004,2019,January
177,2019-01-22,Bradford - City Centre,31828.43,2019,January
178,2019-01-22,Bradford - Lister Park,13378.62,2019,January
179,2019-01-22,Bradford - Local Authority,524345.0,2019,January
180,2019-01-22,Bradford - Roberts Park,47478.72,2019,January
186,2019-01-23,Bradford - BID,106274.19,2019,January
187,2019-01-23,Bradford - City Centre,90180.56,2019,January
188,2019-01-23,Bradford - Lister Park,7890.8,2019,January
189,2019-01-23,Bradford - Local Authority,525697.0,2019,January
190,2019-01-23,Bradford - Roberts Park,30060.19,2019,January
196,2019-01-24,Bradford - BID,80062.58,2019,January
197,2019-01-24,Bradford - City Centre,124806.95,2019,January
198,2019-01-24,Bradford - Lister Park,7088.56,2019,January
199,2019-01-24,Bradford - Local Authority,674026.0,2019,January
200,2019-01-24,Bradford - Roberts Park,7061.12,2019,January
206,2019-01-25,Bradford - BID,61137.534999999996,2019,January
207,2019-01-25,Bradford - City Centre,83243.59,2019,January
208,2019-01-25,Bradford - Lister Park,13652.94,2019,January
209,2019-01-25,Bradford - Local Authority,605638.0,2019,January
211,2019-01-25,Bradford - Roberts Park,849.36,2019,January
217,2019-01-26,Bradford - BID,64142.295,2019,January
218,2019-01-26,Bradford - City Centre,113599.38,2019,January
219,2019-01-26,Bradford - Lister Park,10996.6,2019,January
220,2019-01-26,Bradford - Local Authority,689841.0,2019,January
221,2019-01-26,Bradford - Roberts Park,9814.31,2019,January
226,2019-01-27,Bradford - BID,58588.985,2019,January
227,2019-01-27,Bradford - City Centre,86501.66,2019,January
228,2019-01-27,Bradford - Lister Park,19324.4,2019,January
229,2019-01-27,Bradford - Local Authority,714268.0,2019,January
231,2019-01-27,Bradford - Roberts Park,2113.61,2019,January
239,2019-01-28,Bradford - BID,85809.70999999999,2019,January
240,2019-01-28,Bradford - City Centre,109631.67499999999,2019,January
241,2019-01-28,Bradford - Lister Park,15648.154999999999,2019,January
242,2019-01-28,Bradford - Local Authority,606034.0,2019,January
244,2019-01-28,Bradford - Roberts Park,16118.66,2019,January
