area,year,Total_Annual_Footfall,Daily_Avg,Highest_Footfall_Date,Max_Daily,Lowest_Footfall_Date,Min_Daily,Highest_Footfall_Month,Missing_days_count,%_Days_Observed
BD Walls : Wayfinders,2019,8906147.170000002,24400.403205479455,2019-08-23,127621.09,2019-10-08,1901.28,August,0,100.0
BD Walls : Wayfinders,2020,4204969.76,11488.988415300546,2020-06-12,34876.06,2020-11-03,1873.73,January,0,100.0
BD Walls : Wayfinders,2021,4004756.08,10971.934465753426,2021-12-10,27673.51,2021-01-25,1637.06,November,0,100.0
BD Walls : Wayfinders,2022,4355503.68,11932.886794520547,2022-08-07,37581.38,2022-10-30,1470.34,March,0,100.0
BD Walls : Wayfinders,2023,4796522.209999999,13141.156739726024,2023-12-30,67077.34,2023-08-28,1286.52,March,0,100.0
BD Walls : Wayfinders,2024,4657427.7,12725.212295081968,2024-01-22,50770.35,2024-08-21,1136.32,March,0,100.0
BD Walls : Wayfinders,2025,7153884.569999999,19599.683753424655,2025-12-31,87286.52,2025-03-04,4183.33,November,0,100.0
Bradford - BID,2019,32851161.174999997,90003.18130136986,2019-07-22,162838.175,2019-03-24,22229.695,July,0,100.0
Bradford - BID,2020,22219440.875,60708.85484972678,2020-02-06,142490.535,2020-05-03,12882.935000000001,February,0,100.0
Bradford - BID,2021,24467514.85,67034.28726027398,2021-04-27,116080.67,2021-01-10,27236.16,October,0,100.0
Bradford - BID,2022,28958788.654999997,79339.147,2022-11-21,163936.0,2022-08-12,33975.69,November,0,100.0
Bradford - BID,2023,31804165.63,87134.70035616438,2023-12-10,180321.53999999998,2023-09-10,36449.66,March,0,100.0
Bradford - BID,2024,35311600.42,96479.78256830602,2024-11-19,163749.68,2024-08-13,36689.5,September,0,100.0
Bradford - BID,2025,38640298.645,105863.8319041096,2025-12-31,206622.52500000002,2025-12-25,28544.854999999996,December,0,100.0
Bradford - Local Authority,2019,244751261.0,670551.4,2019-08-12,921993.0,2019-01-11,397085.0,August,0,100.0
Bradford - Local Authority,2020,215895680.0,589878.9071038251,2020-03-06,684055.0,2020-05-10,458448.0,August,0,100.0
Bradford - Local Authority,2021,218616139.0,598948.3260273973,2021-10-01,684376.0,2021-03-28,513593.0,October,0,100.0
Bradford - Local Authority,2022,238590845.0,653673.5479452055,2022-11-22,814965.0,2022-07-24,536308.0,October,0,100.0
Bradford - Local Authority,2023,273873865.0,750339.3561643836,2023-04-04,928063.0,2023-12-24,522895.0,March,0,100.0
Bradford - Local Authority,2024,225918203.0,617262.849726776,2024-04-09,760299.0,2024-01-28,475425.0,July,0,100.0
Bradford - Local Authority,2025,101599710.0,891225.5263157894,2025-05-10,1150276.0,2025-04-07,509377.0,April,251,31.232876712328768
Bradford - Penistone Hill,2019,907327.4116666669,4220.1274961240315,2019-02-27,23056.43,2019-12-13,373.48,February,150,58.9041095890411
Bradford - Penistone Hill,2020,898178.9475,2626.2542324561405,2020-01-19,10547.08,2020-11-17,188.48000000000002,May,24,93.44262295081968
Bradford - Penistone Hill,2021,802913.9408333334,2255.3762382958803,2021-09-12,6731.155,2021-09-20,492.1066666666666,February,9,97.53424657534246
Bradford - Penistone Hill,2022,616153.5233333333,2588.8803501400557,2022-08-08,13515.72,2022-03-22,128.035,May,127,65.20547945205479
Bradford - Penistone Hill,2023,778909.7849999999,3416.270986842105,2023-02-01,13299.31,2023-03-27,51.94,August,137,62.465753424657535
Bradford - Penistone Hill,2024,804177.8091666667,4000.884622719735,2024-04-05,24457.855,2024-07-23,51.94,April,165,54.91803278688525
Bradford - Penistone Hill,2025,1081865.67,5576.627164948453,2025-11-24,47952.11,2025-01-02,711.71,November,171,53.15068493150685
BD Walls : Serving the district,2019,4856422.618333333,13757.571156751652,2019-02-14,64930.0,2019-08-08,800.29,February,12,96.7123287671233
BD Walls : Serving the district,2020,4147915.825,11333.103346994536,2020-08-15,93281.3,2020-09-22,1967.58,August,0,100.0
BD Walls : Serving the district,2021,4122107.95,11293.446438356164,2021-12-21,29090.5,2021-11-06,1537.37,March,0,100.0
BD Walls : Serving the district,2022,4149089.043333334,11429.99736455464,2022-06-07,53114.25,2022-02-03,1040.54,April,2,99.45205479452055
BD Walls : Serving the district,2023,2863290.17,7844.630602739726,2023-02-08,29010.02,2023-06-04,1161.27,March,0,100.0
BD Walls : Serving the district,2024,4061494.5333333337,11127.382283105024,2024-10-01,74127.89,2024-01-21,662.3,October,1,99.72677595628416
BD Walls : Serving the district,2025,4797063.99,13215.052314049588,2025-10-03,140840.12,2025-01-20,865.25,December,2,99.45205479452055
BD Walls : The Portal,2019,4485842.808333334,12780.178941120608,2019-06-30,55812.15,2019-03-16,239.61,January,14,96.16438356164385
BD Walls : The Portal,2020,1900131.5383333333,5263.522266851339,2020-08-11,80416.76,2020-04-12,532.56,January,5,98.63387978142076
BD Walls : The Portal,2021,1811483.145,4962.967520547945,2021-09-24,29995.24,2021-10-07,412.41,October,0,100.0
BD Walls : The Portal,2022,2614253.2766666664,7426.855899621211,2022-04-10,34052.7,2022-01-04,814.88,May,13,96.43835616438356
BD Walls : The Portal,2023,4171129.5016666665,11522.457186924494,2023-10-11,46681.02,2023-10-21,684.86,April,3,99.17808219178083
BD Walls : The Portal,2024,3426691.2549999994,9762.653148148147,2024-11-22,148640.06,2024-05-03,786.32,November,15,95.90163934426229
BD Walls : The Portal,2025,2186162.38,6685.5118654434245,2025-12-26,64107.1,2025-03-21,786.32,June,38,89.58904109589041
Bradford - City Centre,2019,32912732.48833333,91678.92058031568,2019-02-15,217536.16,2019-05-22,16396.46,June,6,98.35616438356163
Bradford - City Centre,2020,16841885.156666666,46016.07966302368,2020-12-31,140367.71,2020-03-05,4384.07,August,0,100.0
Bradford - City Centre,2021,25723676.25166667,70475.82534703198,2021-08-25,178043.06,2021-07-21,13698.31,September,0,100.0
Bradford - City Centre,2022,28326861.585,77607.83995890411,2022-04-29,228269.02,2022-02-23,11272.57,May,0,100.0
Bradford - City Centre,2023,31732143.31833333,86937.3789543379,2023-05-28,188016.8,2023-09-28,19716.89,May,0,100.0
Bradford - City Centre,2024,31844465.138333336,87245.10996803653,2024-12-20,287027.77,2024-09-07,13608.4,November,1,99.72677595628416
Bradford - City Centre,2025,35865856.54,98262.62065753425,2025-12-30,241239.65,2025-08-10,13041.28,December,0,100.0
Bradford - Lister Park,2019,7395624.398333333,20600.625064995358,2019-12-31,81506.71,2019-12-07,3583.33,December,6,98.35616438356163
Bradford - Lister Park,2020,5360289.878333334,14645.60076047359,2020-08-09,106291.12,2020-10-22,2263.95,August,0,100.0
Bradford - Lister Park,2021,5472199.676666667,14992.32788127854,2021-08-24,53342.26,2021-06-17,3091.9,May,0,100.0
Bradford - Lister Park,2022,6473562.4399999995,17735.787506849312,2022-12-29,64185.88,2022-02-22,2760.36,September,0,100.0
Bradford - Lister Park,2023,9057748.603333334,24815.749598173516,2023-04-16,82003.02,2023-09-30,3334.79,December,0,100.0
Bradford - Lister Park,2024,11239292.316666666,30792.581689497718,2024-12-06,85867.34,2024-07-23,7410.39,April,1,99.72677595628416
Bradford - Lister Park,2025,10945755.919999998,29988.37238356164,2025-12-08,100405.13,2025-07-15,6622.09,March,0,100.0
Bradford - Roberts Park,2019,4175078.138333333,11662.229436685288,2019-04-23,54108.33,2019-01-13,849.36,April,7,98.08219178082192
Bradford - Roberts Park,2020,2992139.6216666666,8175.244867941712,2020-04-02,35595.12,2020-08-21,1471.57,March,0,100.0
Bradford - Roberts Park,2021,2427854.3933333335,6651.65587214612,2021-04-29,27738.87,2021-12-26,1270.4,July,0,100.0
Bradford - Roberts Park,2022,2823857.6616666666,8232.821171039845,2022-07-15,63106.91,2022-01-12,644.15,July,22,93.97260273972603
Bradford - Roberts Park,2023,3867869.415,10744.081708333333,2023-07-07,55443.69,2023-03-14,445.82,July,5,98.63013698630137
Bradford - Roberts Park,2024,2592414.4333333336,8203.843143459917,2024-04-05,38227.67,2024-05-07,915.62,August,50,86.33879781420765
Bradford - Roberts Park,2025,2879112.8899999997,8886.150895061728,2025-07-27,45929.94,2025-04-16,915.62,August,41,88.76712328767124
Darley Street Market,2019,5387066.41,15005.756016713092,2019-12-31,80705.33,2019-01-12,1569.09,July,6,98.35616438356163
Darley Street Market,2020,1885734.84,5311.929126760564,2020-01-15,26394.31,2020-10-15,287.69,January,11,96.99453551912568
Darley Street Market,2021,2847235.168333333,7800.644296803652,2021-09-02,54014.67,2021-07-11,1444.55,October,0,100.0
Darley Street Market,2022,3582758.5083333333,9869.858149678605,2022-08-31,40432.22,2022-01-31,1045.51,October,2,99.45205479452055
Darley Street Market,2023,3797551.961666667,10404.25194977169,2023-06-03,50752.16,2023-09-22,1040.54,May,0,100.0
Darley Street Market,2024,3403389.8499999996,9533.304901960782,2024-07-30,58771.38,2024-02-21,1025.54,July,9,97.54098360655738
Darley Street Market,2025,4287084.28,12144.714674220964,2025-12-29,82827.33,2025-04-24,1138.42,December,12,96.7123287671233
BD Walls : Come on in my friend,2019,3159796.5483333333,9546.213136958711,2019-07-04,63561.83,2019-02-07,1150.51,July,34,90.68493150684932
BD Walls : Come on in my friend,2020,2252582.3633333333,6274.602683379759,2020-05-11,22751.82,2020-03-11,466.45,May,7,98.08743169398907
BD Walls : Come on in my friend,2021,2788569.1833333336,7639.915570776257,2021-11-10,24419.31,2021-02-27,1845.55,July,0,100.0
BD Walls : Come on in my friend,2022,4680024.289999999,12821.984356164381,2022-06-24,44540.09,2022-02-10,901.81,June,0,100.0
BD Walls : Come on in my friend,2023,5383604.541666666,14790.122367216116,2023-08-30,50008.6,2023-08-13,3681.75,May,1,99.72602739726028
BD Walls : Come on in my friend,2024,6933385.366666667,18943.675865209472,2024-10-24,70844.42,2024-12-13,2111.83,December,0,100.0
BD Walls : Come on in my friend,2025,5034421.645,13984.504569444443,2025-04-02,52555.12,2025-10-30,898.97,April,5,98.63013698630137
BD Walls : Roots,2019,1472921.6616666669,5375.6265024330905,2019-07-06,28113.74,2019-10-17,460.1,July,91,75.06849315068493
BD Walls : Roots,2020,841941.8733333333,2412.4408978032475,2020-02-08,10405.45,2020-10-03,251.43,November,17,95.3551912568306
BD Walls : Roots,2021,1331074.2566666668,3666.8712304866854,2021-11-25,18003.02,2021-08-14,582.23,October,2,99.45205479452055
BD Walls : Roots,2022,1546754.6766666668,4957.547040598291,2022-12-23,69289.46,2022-08-04,489.56,December,53,85.47945205479452
BD Walls : Roots,2023,2166241.5266666664,6920.899446219381,2023-04-13,30919.05,2023-03-09,554.13,December,52,85.75342465753425
BD Walls : Roots,2024,1218708.9433333334,4564.452971285893,2024-03-17,29361.18,2024-02-20,694.42,July,99,72.95081967213115
BD Walls : Roots,2025,2066051.21,6456.4100312499995,2025-02-03,42069.13,2025-01-05,1127.23,August,45,87.67123287671232
BD Walls: RAVO,2019,1281110.6883333335,5668.631364306785,2019-03-28,28478.07,2019-12-06,704.54,September,139,61.917808219178085
BD Walls: RAVO,2020,1091174.5166666666,3031.040324074074,2020-03-31,14623.87,2020-06-14,375.75,March,6,98.36065573770492
BD Walls: RAVO,2021,982296.925,2706.052134986226,2021-12-24,21643.33,2021-08-10,352.27,December,2,99.45205479452055
BD Walls: RAVO,2022,734019.105,3382.576520737327,2022-03-17,20810.9,2022-10-26,359.36,March,148,59.45205479452055
BD Walls: RAVO,2023,669183.315,2709.2441902834007,2023-05-20,15096.57,2023-03-08,418.7,May,118,67.67123287671232
BD Walls: RAVO,2024,1232148.4300000002,10183.04487603306,2024-05-06,47130.99,2024-12-31,1059.23,May,245,33.060109289617486
BD Walls: RAVO,2025,531779.85,4059.388167938931,2025-11-16,22755.55,2025-01-09,690.12,December,234,35.89041095890411
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",2019,908759.8416666668,3867.063156028369,2019-04-08,22545.14,2019-11-11,343.74,July,130,64.38356164383562
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",2020,239725.2316666667,1094.6357610350078,2020-02-11,4952.62,2020-09-03,198.81,October,147,59.83606557377049
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",2021,421875.9816666667,1480.2666023391814,2021-10-06,14239.04,2021-05-01,287.805,December,80,78.08219178082192
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",2022,789627.505,4200.146303191489,2022-08-14,19324.4,2022-02-21,637.94,March,177,51.50684931506849
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",2023,515219.19000000006,3160.8539263803686,2023-05-18,20481.1,2023-02-13,464.02,September,202,44.657534246575345
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",2024,89652.79000000001,2801.6496875000003,2024-01-20,16587.98,2024-12-30,878.22,January,334,8.743169398907105
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",2025,620219.19,3316.680160427807,2025-11-09,21298.64,2025-02-14,779.52,November,178,51.23287671232877
